source_file	source_line	wc1_address	wc2_address	source_name	mapping_name	evidence	review_flags	status
src/cdrom.c	9	00403100	00455715	AllocateFontWorkspace	AllocateFontWorkspace	WC1-fuzzy-medium		mapped
src/cdrom.c	38	00403180	0042EE4F	FreeFontWorkspace	FreeFontWorkspace	WC1-fuzzy-low		mapped
src/cdrom.c	52	004031C0	00456123	LocateStreamsDirOnDisc	LocateStreamsDirOnDisc	WC1-callgraph-transfer		mapped
src/cdrom.c	84	00403290	00456236	FindCdRomDriveByVolumeLabel	FindCdRomDriveByVolumeLabel	WC1-fuzzy-medium		mapped
src/cdrom.c	133	004033E0	004563A3	SetCurrentDirOnDrive	SetCurrentDirOnDrive	WC1-fuzzy-medium		mapped
src/cdrom.c	149	00403450	00456443	PromptInsertCorrectCd	PromptInsertCorrectCd	WC1-auto-vt		mapped
src/cdrom.c	168	004034D0	0045A010	OpenDataFileOrDie	OpenDataFileOrDie	WC1-auto-vt		mapped
src/cmpgn.c	68	00404610	00459BC8	LoadPaletteTripletsFile	LoadPaletteTripletsFile	WC1-fuzzy-very-low		mapped
src/cmpgn.c	100	004046A0	0044EBCA	ejection_sequence	ejection_sequence	WC1-callgraph-propagated		mapped
src/cmpgn.c	268	00404BE0	004251F2	stranded_sequence	stranded_sequence	WC1-callgraph-propagated		mapped
src/cmpgn.c	304	00404CD0		ParseFaceAnimation				unmapped
src/cmpgn.c	342	00404D70		ParseMouthAnimation				unmapped
src/cmpgn.c	379	00404E10		AddPCName				unmapped
src/cmpgn.c	467	004050B0	004099A8	LoadFace	LoadFace	WC1-callgraph-propagated		mapped
src/cmpgn.c	533	00405290		LongTalk				unmapped
src/cmpgn.c	626	004054B0	004098F2	CloseTalk	CloseTalk	WC1-callgraph-propagated		mapped
src/cmpgn.c	686	00405660		Briefing				unmapped
src/cmpgn.c	707	004056F0	00424D4D	DeBriefing	DeBriefing	WC1-fuzzy-very-low		mapped
src/cmpgn.c	751	00405840	00409B80	Office	Office	WC1-callgraph-propagated		mapped
src/cmpgn.c	786	00405910		LoadBriefingData				unmapped
src/cmpgn.c	818	004059B0		LoadMissionData				unmapped
src/cmpgn.c	949	00405CC0		UpdateMap				unmapped
src/cmpgn.c	977	00405DE0		CloseLook				unmapped
src/cockpt.c	102	00413A10	0040F040	EmitTextString	EmitTextString	WC1-fuzzy-medium		mapped
src/cockpt.c	114	00413A40	00420378	FormatTextTokens	FormatTextTokens	WC1-auto-vt		mapped
src/cockpt.c	247	00413C40		DrawFormattedText				unmapped
src/cockpt.c	266	00413C70	0040D6B0	FormatTextBufferFromStart	FormatTextBufferFromStart	WC1-callgraph-propagated		mapped
src/cockpt.c	289	00413CB0	004206F2	AppendFormattedText	AppendFormattedText	WC1-callgraph-propagated		mapped
src/cockpt.c	308	00413CE0	004380B0	FatalErrorAndExit	HelperOf428F80A	WC1-auto-vt		mapped
src/cockpt.c	326	00413D20	004380FD	IsCockpitExplosionActive	IsCockpitExplosionActive	WC1-manual-verified		mapped
src/cockpt.c	332	00413D40	00438129	EraseCockpitReadoutRegion	EraseCockpitReadoutRegion	WC1-fuzzy-medium		mapped
src/cockpt.c	349	00413DA0	00438194	vdu_polygon	vdu_polygon	WC1-fuzzy-very-low		mapped
src/cockpt.c	448	00413F70	00438454	InitializeCockpitReadout	InitializeCockpitReadout	WC1-callgraph-propagated		mapped
src/cockpt.c	459	00413FB0	004384AD	DrawCockpitReadout	DrawCockpitReadout	WC1-fuzzy-followup		mapped
src/cockpt.c	479	00414050		EraseCockpitReadoutAtPosition				unmapped
src/cockpt.c	492	004140A0	004385B3	DrawHudMessageSlot	DrawHudMessageSlot	WC1-fuzzy-very-low		mapped
src/cockpt.c	526	00414180	00438711	ClearHudMessageSlot	ClearHudMessageSlot	WC1-order-exact		mapped
src/cockpt.c	535	004141B0	004387A7	ClearHudMessageIfMatching	ClearHudMessageIfMatching	WC1-fuzzy-followup		mapped
src/cockpt.c	542	004141D0	004387CD	ClearHudGunReadouts	ClearHudGunReadouts	WC1-manual-verified		mapped
src/cockpt.c	551	004141F0	004387FA	SetHudMessageSlot	SetHudMessageSlot	WC1-manual-verified		mapped
src/cockpt.c	567	00414240	00438864	UpdateMessage	UpdateMessage	WC1-fuzzy-low		mapped
src/cockpt.c	579	00414270	004388B6	set_global_message	set_global_message	WC1-manual-verified		mapped
src/cockpt.c	589	004142B0	004388F5	CockpitMessage	CockpitMessage	WC1-manual-verified		mapped
src/cockpt.c	597	004142E0	0043893F	remove_message	remove_message	WC1-callgraph-propagated		mapped
src/cockpt.c	603	00414300	0043895F	kilrathi_near	kilrathi_near	WC1-fuzzy-very-low		mapped
src/cockpt.c	621	00414380	00438ADD	auto_pilot_valid	auto_pilot_valid	WC1-callgraph-propagated		mapped
src/cockpt.c	644	00414410	00438CEB	reset_cockpit	reset_cockpit	WC1-manual-verified		mapped
src/cockpt.c	654	00414440	00438D30	SetCockpitLightBlink	SetCockpitLightBlink	WC1-fuzzy-medium		mapped
src/cockpt.c	672	00414490	00438DAD	draw_cockpit_lights	draw_cockpit_lights	WC1-fuzzy-very-low		mapped
src/cockpt.c	726	004145B0	00438F62	update_lights	update_lights	WC1-fuzzy-low		mapped
src/cockpt.c	756	00414690	00439076	update_bars	update_bars	WC1-fuzzy-followup		mapped
src/cockpt.c	792	004147E0	00439264	get_mode	get_mode	WC1-callgraph-propagated		mapped
src/cockpt.c	799	00414800	0043928E	set_mode	set_mode	WC1-manual-verified		mapped
src/cockpt.c	808	00414850	004392F1	SetVduModeIfChanged	SetVduModeIfChanged	WC1-manual-verified		mapped
src/cockpt.c	819	00414890	0043934D	GetVduModeStackDepth	GetVduModeStackDepth	WC1-callgraph-single-low		mapped
src/cockpt.c	825	004148A0	00439369	push_mode	push_mode	WC1-manual-verified		mapped
src/cockpt.c	834	004148E0	004393B3	pop_mode	pop_mode	WC1-manual-verified		mapped
src/cockpt.c	841	00414910	004393E1	set_new_vdu	set_new_vdu	WC1-fuzzy-followup		mapped
src/cockpt.c	855	00414980	004394A0	update_vid_disp	update_vid_disp	WC1-manual-verified		mapped
src/cockpt.c	866	004149C0	00439500	InvalidateVduMode	DebugNoBodyStub	WC1-callgraph-propagated		mapped
src/cockpt.c	872	004149E0	0043951A	clear_message_time	clear_message_time	WC1-manual-verified		mapped
src/cockpt.c	878	004149F0	0043952E	message_showing	GetCombatFn49F0	WC1-callgraph-propagated		mapped
src/cockpt.c	884	00414A10	00439559	set_message_time	set_message_time	WC1-manual-verified		mapped
src/cockpt.c	891	00414A20	00439588	check_message	GetCombatFn4A20	WC1-callgraph-propagated		mapped
src/cockpt.c	899	00414A50	004396BF	update_digital_readouts	update_digital_readouts	WC1-fuzzy-medium		mapped
src/cockpt.c	916	00414AD0	00446CC2	PlayTargetLockSfx	CallThrough42EF30	WC1-callgraph-single-low		mapped
src/cockpt.c	922	00414AE0	00439753	malf_sound	malf_sound	WC1-callgraph-propagated		mapped
src/cockpt.c	928	00414AF0	00439789	malf	malf	WC1-fuzzy-followup		mapped
src/cockpt.c	936	00414B20	00421BFC	vdu_malf	vdu_malf	WC1-fuzzy-low		mapped
src/cockpt.c	945	00414B70	0043984F	ShowComponentHitHudMessage	ShowComponentHitHudMessage	WC1-fuzzy-medium		mapped
src/cockpt.c	961	00414BF0	004398CB	damage_your_component	damage_your_component	WC1-fuzzy-medium		mapped
src/cockpt.c	982	00414CB0	004399C6	RemovePlayerReleaseWeapon	RemovePlayerReleaseWeapon	WC1-fuzzy-low		mapped
src/cockpt.c	1010	00414D50	00439A5A	fire_computer_graphic_missile	fire_computer_graphic_missile	WC1-fuzzy-low		mapped
src/cockpt.c	1056	00414EA0	00439BB7	show_weapon_disp	show_weapon_disp	WC1-callgraph-propagated		mapped
src/cockpt.c	1129	00415040	00439F5F	update_status_text	update_status_text	WC1-order-exact		mapped
src/cockpt.c	1134	00415050	0043A1EB	sighted	sighted	WC1-manual-verified		mapped
src/cockpt.c	1140	00415070	0043A21E	visited	visited	WC1-manual-verified		mapped
src/cockpt.c	1146	00415090	0043A251	achieved	achieved	WC1-order-exact		mapped
src/cockpt.c	1152	004150B0	0043A29E	flag_objective	flag_objective	WC1-order-exact		mapped
src/cockpt.c	1158	004150D0	0043A2CD	DrawCalculatingLabel	DrawCalculatingLabel	WC1-fuzzy-followup		mapped
src/cockpt.c	1174	00415130	0043A374	objective_name	objective_name	WC1-fuzzy-very-low		mapped
src/cockpt.c	1185	00415180	0043A3F8	show_navigation_disp	show_navigation_disp	WC1-fuzzy-very-low		mapped
src/cockpt.c	1198	004151F0	0043A474	hidden_objective	hidden_objective	WC1-callgraph-propagated		mapped
src/cockpt.c	1231	004152C0	0043A75E	set_new_objective	set_new_objective	WC1-callgraph-propagated		mapped
src/cockpt.c	1259	00415370	0043A851	cycle_next_objective	cycle_next_objective	WC1-fuzzy-low		mapped
src/cockpt.c	1279	004153D0	0043A8EA	set_next_destination	set_next_destination	WC1-order-exact		mapped
src/cockpt.c	1304	00415470	0043A9D7	LocateMobileObjective	LocateMobileObjective	WC1-callgraph-propagated		mapped
src/cockpt.c	1317	004154C0	0043AA3F	someone_coming	someone_coming	WC1-order-exact		mapped
src/cockpt.c	1332	00415510	0043AAC3	escorting_a_ship	escorting_a_ship	WC1-callgraph-single-low		mapped
src/cockpt.c	1342	00415530	0043AAFF	flag_reached	flag_reached	WC1-fuzzy-followup		mapped
src/cockpt.c	1394	004156D0	0043AD61	check_sighting	check_sighting	WC1-fuzzy-very-low		mapped
src/cockpt.c	1403	00415720	0043ADC4	check_visit	check_visit	WC1-fuzzy-very-low		mapped
src/cockpt.c	1417	00415770	0043AE2F	update_objective_location	update_objective_location	WC1-callgraph-propagated		mapped
src/cockpt.c	1443	00415850	0043AFD3	objective_lost	objective_lost	WC1-manual-verified		mapped
src/cockpt.c	1461	004158A0	0043B089	check_objectives	check_objectives	WC1-fuzzy-low		mapped
src/cockpt.c	1475	004158F0	0043B0EB	rotational_pos_to_scanner_pos	rotational_pos_to_scanner_pos	WC1-fuzzy-low		mapped
src/cockpt.c	1516	00415A30	0043B1F0	mobile_objective	mobile_objective	WC1-manual-verified		mapped
src/cockpt.c	1526	00415A70	0043B258	ResetScannerContacts	ResetScannerContacts	WC1-manual-verified		mapped
src/cockpt.c	1538	00415A90	0043B29D	clear_head_up_display	clear_head_up_display	WC1-fuzzy-very-low		mapped
src/cockpt.c	1574	00415B70	0043B4CF	set_objective_range	set_objective_range	WC1-fuzzy-followup		mapped
src/cockpt.c	1594	00415C00	0043B61F	get_color	get_color	WC1-manual-verified		mapped
src/cockpt.c	1628	00415CE0	00460DFE	draw_3d_scanner	DrawCurrentTargetBox	WC1-callgraph-propagated		mapped
src/cockpt.c	1721	00415FC0	0043BE1B	start_lock	start_lock	WC1-fuzzy-followup		mapped
src/cockpt.c	1730	00415FF0	0043BE55	starting_lock	starting_lock	WC1-fuzzy-very-low		mapped
src/cockpt.c	1740	00416010	0043BE8D	lock_off	lock_off	WC1-fuzzy-very-low		mapped
src/cockpt.c	1749	00416040	0043BEFF	CheckTargetLockMalfunction	CheckTargetLockMalfunction	WC1-fuzzy-very-low		mapped
src/cockpt.c	1765	00416090	0043BF67	decrement_lock_time	decrement_lock_time	WC1-fuzzy-very-low		mapped
src/cockpt.c	1788	00416120	0043C048	target_locking	target_locking	WC1-callgraph-propagated		mapped
src/cockpt.c	1848	00416220	0043C30D	SetRectBounds	DoLocalFn6220	WC1-callgraph-propagated		mapped
src/cockpt.c	1858	00416250	0043C344	GetRectHeight	GetRectHeight	WC1-manual-verified		mapped
src/cockpt.c	1864	00416260	0043C364	print_message_text	print_message_text	WC1-manual-verified		mapped
src/cockpt.c	1958	00416460	0043C570	ShowHudTextLine	ShowHudTextLine	WC1-manual-verified		mapped
src/cockpt.c	1965	00416480	0043C601	SetHudTextColour	SetHudTextColour	WC1-manual-verified		mapped
src/cockpt.c	1973	004164B0	0043C6D8	draw_target_box	draw_target_box	WC1-fuzzy-very-low		mapped
src/cockpt.c	2094	004168A0	0043CBD3	remove_nav_pointer	remove_nav_pointer	WC1-manual-verified		mapped
src/cockpt.c	2101	004168C0	0043CBFD	draw_nav_pointer	draw_nav_pointer	WC1-fuzzy-very-low		mapped
src/cockpt.c	2166	00416AC0	0043D386	overlay_head_up_display	overlay_head_up_display	WC1-callgraph-propagated		mapped
