source_file	source_name	mapping_name	wc1_address	wc2_address	evidence	review_flags	binary_similarity	similarity_band
src/cockpt.c	objective_name	objective_name	00415130	0043A374	WC1-fuzzy-very-low		76.92	50to90
src/eventmgr.c	EnterAllocationScope	GetUiFn60D0	004360D0	00463BA1	WC1-callgraph-propagated		76.92	50to90
src/music.c	SetMusBreakpt	DoMusicFnE380	0042E380	004641C5	WC1-callgraph-single-low		76.92	50to90
src/ship.c	score_for_kill	score_for_kill	0041FA90	00413E4C	WC1-fuzzy-followup		77.36	50to90
src/screen.c	IsPushedPacketHandle	IsPushedPacketHandle	0042F9E0	00458EED	WC1-callgraph-single		77.42	50to90
src/ship.c	onboard_explosion	onboard_explosion	0041ECE0	0041270A	WC1-fuzzy-very-low		77.63	50to90
src/cockpt.c	check_visit	check_visit	00415720	0043ADC4	WC1-fuzzy-very-low		77.78	50to90
src/brains.c	Msuicide_run	Msuicide_run	004071B0	00441E9C	WC1-order-exact		77.78	50to90
src/nav.c	CentreMouseOnCurrentNavObjective	GetTbl0059c000FnE3C0	0040E3C0	00451DDB	WC1-fuzzy-followup		77.78	50to90
src/logic.c	in_danger	in_danger	00423350	0042ACAF	WC1-callgraph-propagated		77.94	50to90
src/ship.c	affect_mission_score	affect_mission_score	0041F9E0	00413D61	WC1-fuzzy-medium		77.97	50to90
src/spc.c	animate_object	SoundTbl0059de40Fn2E30	00412E30	0041D2DA	WC1-fuzzy-followup		78.00	50to90
src/brains.c	Msit_n_fire	Msit_n_fire	00407060	00441D00	WC1-fuzzy-very-low		78.00	50to90
src/logic.c	ResetCockpitPaletteEntries	HelperOf4219C0C	00423E10	00456A68	WC1-callgraph-propagated		78.00	50to90
src/logic.c	your_afterburner	your_afterburner	00421920	00417471	WC1-fuzzy-low		78.12	50to90
src/music.c	PlaySfxWaveFileByNumber	PlaySfxWaveFileByNumber	0042EF30	0045373B	WC1-fuzzy-followup		78.12	50to90
src/music.c	TheEndFireWorks	TheEndFireWorks	0042D2A0	0045A300	WC1-fuzzy-very-low		78.22	50to90
src/nav.c	AllocateNearHeapBlockByFlags	AllocateNearHeapBlockByFlags	0040ED30	00420E16	WC1-fuzzy-low		78.26	50to90
src/nav.c	PurgeNearHeapBlocks	PurgeNearHeapBlocks	0040E950	004208FC	WC1-fuzzy-low		78.33	50to90
src/main.c	InitializeConversationViewport	InitializeConversationViewport	00427B20	00437CBF	WC1-fuzzy-followup		78.57	50to90
src/brains.c	prepare_for_jump	prepare_for_jump	0040A540	00443C45	WC1-fuzzy-low		78.57	50to90
src/hudmsg.c	ResetMouseCursorFrame	WcOrphanRoutine42A670	0042A670	00452A00	WC1-fuzzy-low		78.57	50to90
src/mathfp.c	RandomInRange	RandomInRange	00434D20	00461942	WC1-fuzzy-medium		78.79	50to90
src/geom.c	MeasureTextPixelWidthClamped	MeasureTextPixelWidthClamped	00418080	00453B30	WC1-callgraph-propagated		78.85	50to90
